night_total,booking_status
1,Not_Canceled
2,Canceled
2,Not_Canceled
4,Not_Canceled
4,Canceled
7,Not_Canceled
2,Canceled
1,Canceled
1,Not_Canceled
1,Canceled
7,Not_Canceled
7,Not_Canceled
4,Canceled
4,Not_Canceled
2,Not_Canceled
4,Not_Canceled
1,Not_Canceled
4,Not_Canceled
2,Not_Canceled
3,Not_Canceled
2,Not_Canceled
3,Canceled
7,Not_Canceled
2,Not_Canceled
5,Not_Canceled
4,Canceled
1,Canceled
5,Not_Canceled
5,Canceled
4,Canceled
4,Canceled
1,Not_Canceled
3,Canceled
1,Canceled
3,Canceled
2,Canceled
1,Not_Canceled
1,Not_Canceled
13,Canceled
6,Not_Canceled
2,Not_Canceled
2,Not_Canceled
5,Canceled
3,Not_Canceled
1,Canceled
5,Not_Canceled
4,Not_Canceled
14,Canceled
3,Not_Canceled
3,Not_Canceled
12,Canceled
10,Not_Canceled
1,Not_Canceled
3,Not_Canceled
5,Canceled
3,Not_Canceled
3,Canceled
5,Not_Canceled
3,Canceled
3,Canceled
4,Not_Canceled
4,Not_Canceled
5,Canceled
3,Canceled
2,Not_Canceled
1,Not_Canceled
6,Not_Canceled
1,Not_Canceled
6,Not_Canceled
3,Not_Canceled
2,Not_Canceled
5,Not_Canceled
3,Not_Canceled
1,Not_Canceled
2,Not_Canceled
1,Not_Canceled
4,Not_Canceled
4,Not_Canceled
2,Not_Canceled
1,Canceled
3,Canceled
3,Not_Canceled
6,Canceled
4,Not_Canceled
3,Canceled
1,Not_Canceled
5,Not_Canceled
3,Not_Canceled
3,Canceled
1,Not_Canceled
1,Canceled
4,Not_Canceled
3,Canceled
3,Canceled
6,Not_Canceled
1,Not_Canceled
2,Not_Canceled
1,Canceled
3,Canceled
3,Not_Canceled
4,Canceled
2,Not_Canceled
3,Canceled
2,Not_Canceled
4,Not_Canceled
2,Not_Canceled
2,Canceled
3,Canceled
2,Not_Canceled
2,Not_Canceled
4,Canceled
4,Canceled
3,Not_Canceled
7,Not_Canceled
3,Not_Canceled
1,Not_Canceled
1,Not_Canceled
2,Canceled
1,Canceled
3,Not_Canceled
2,Not_Canceled
1,Not_Canceled
3,Canceled
3,Not_Canceled
3,Not_Canceled
3,Not_Canceled
3,Canceled
3,Canceled
2,Canceled
1,Canceled
5,Canceled
3,Not_Canceled
3,Not_Canceled
7,Canceled
4,Not_Canceled
4,Not_Canceled
2,Canceled
4,Not_Canceled
3,Not_Canceled
5,Canceled
4,Canceled
3,Canceled
4,Not_Canceled
3,Canceled
3,Not_Canceled
6,Canceled
3,Not_Canceled
3,Canceled
4,Not_Canceled
3,Not_Canceled
10,Not_Canceled
4,Not_Canceled
3,Canceled
3,Not_Canceled
3,Not_Canceled
2,Not_Canceled
1,Not_Canceled
4,Canceled
2,Not_Canceled
2,Canceled
3,Canceled
3,Not_Canceled
4,Not_Canceled
5,Canceled
7,Canceled
3,Not_Canceled
5,Canceled
3,Canceled
3,Not_Canceled
3,Canceled
1,Not_Canceled
4,Not_Canceled
4,Not_Canceled
4,Not_Canceled
